G301_G299_A	 STF
G358_G432_A	 STF
G639	 STR
G414_G523_B	 STR
G102_G287_B	 STF
G69_G516_B	 STR
G264_G254_A	 STR
G46_G282_B	 STF
G253	 STR
G431_G421_A	 STF
G512	 STR
G601_G602_B	 STF
G161	 STF
G500_G501_B	 STF
G366	 STF
G71_G487_A	 STF
G638	 STR
G619	 STF
G571	 STR
G76_G98_A	 STF
G297	 STF
G552_G544_A	 STF
G74_G550_B	 STF
G493	 STR
G236	 STR
G85	 STR
G480_G471_A	 STR
G229_G344_A	 STF
G170_G156_A	 STR
G49	 STF
G59_G350_A	 STF
G511_G512_B	 STF
G102_G276_A	 STF
G210_G209_B	 STR
G636	 STR
G376	 STR
G325	 STF
G42_G291_A	 STF
G492	 STR
G43	 STR
G596_G98_B	 STR
G104_G280_A	 STR
G269_G289_B	 STR
G332	 STF
G339	 STF
G335_G413_A	 STF
G497	 STF
G82_G561_D	 STF
G47_G300_D	 STF
G289	 STR
G551_G552_A	 STF
G490	 STF
G105_G285_B	 STR
G649	 STR
G449	 STF
G268_G289_C	 STR
G633	 STF
G301_G334_A	 STF
G583	 STR
G645_G621_B	 STR
G268	 STR
G645_G684_A	 STR
G494	 STR
G76_G585_B	 STR
G291	 STF
G293	 STF
G505	 STR
G57_G412_B	 STF
G178_G181_A	 STF
G489	 STF
G155	 STR
G74_G583_B	 STF
G28_G131_B	 STR
G531	 STR
G604_G591_B	 STF
G525	 STF
G104	 STR
========================================================================


G69_G516_B	 STR
G496	 STR
G608	 STF
G417	 STR
G202_G196_A	 STF
G304	 STF
G300	 STF
G485	 STR
G79_G561_A	 STF
G171_G162_A	 STF
G645_G624_B	 STR
G530	 STF
G646	 STR
G490	 STF
G179	 STF
G210_G209_B	 STR
G75	 STR
G73_G501_A	 STR
G291	 STF
G629	 STF
G597_G599_B	 STF
G583	 STF
G48_G319_A	 STR
G37_G195_B	 STR
G68_G519_B	 STF
G645_G684_A	 STR
G630	 STF
G644	 STF
G480	 STF
G80_G561_B	 STF
G408	 STR
G239	 STR
G373	 STR
G625	 STF
G332BF	 STF
G251	 STF
G596_G99_B	 STR
G104_G294_B	 STF
G58_G413_B	 STR
G270	 STR
G268_G289_C	 STF
G209	 STR
G72_G496_A	 STF
G493	 STF
G586	 STR
G76_G580_B	 STF
G59_G350_A	 STR
G621	 STR
G275	 STR
G64_G444_B	 STR
G511_G512_B	 STF
G596_G100_B	 STR
G247	 STR
G103_G293_B	 STR
G104_G284_B	 STF
G552_G544_A	 STF
G431_G421_A	 STF
G63	 STF
G511	 STR
G375_G368_A	 STR
G487	 STR
G476_G655_B	 STF
G183_G377_A	 STR
G491	 STF
G77_G586_B	 STF
G501	 STF
G47_G300_D	 STF
G432_G229_A	 STF
G620	 STF
G617	 STF
G46_G295_A	 STF
G75_G97_A	 STF
G504	 STR
G104_G280_A	 STR
G258	 STF
G582	 STF
G97	 STR
G32	 STR
G461	 STF
G74_G578_B	 STF
G475	 STF
G358_G432_A	 STF
G180_G181_B	 STR
G588	 STR
G538	 STF
G160	 STR
G297	 STR
G533	 STF
G79_G578_A	 STR
G295	 STF
G442	 STF
G71	 STF
G96	 STR
G505	 STR
========================================================================


G268_G289_C	 STF
G80_G561_B	 STF
G495	 STF
G311	 STR
G645_G633_B	 STF
G633	 STR
G102_G276_A	 STF
G333	 STF
G600	 STR
G105_G285_B	 STR
G645	 STR
G301_G334_A	 STF
G99	 STF
G645_G352_B	 STF
G500_G501_B	 STF
G559	 STF
G180	 STF
G97	 STF
G73_G501_A	 STR
G583	 STF
G549	 STR
G170_G171_A	 STF
G351	 STR
G511_G512_B	 STF
G432_G430_A	 STF
G535	 STF
G413_G404_B	 STF
G601_G602_B	 STR
G236	 STR
G519	 STR
G77_G586_B	 STR
G101_G291_B	 STF
G50_G325_A	 STF
G623	 STR
G331	 STR
G64_G444_B	 STR
G101_G286_B	 STR
G512	 STF
G102	 STR
G491	 STR
G48_G301_C	 STF
G507	 STF
G297_G298_A	 STF
G60_G418_B	 STF
G602	 STF
G511	 STR
G72_G496_A	 STR
G645_G684_A	 STR
G432_G229_A	 STR
G304	 STF
G136_G132_A	 STF
G295	 STF
G540	 STF
G178_G181_A	 STR
G352	 STR
G525	 STF
G617	 STR
G552_G543_A	 STR
G102_G287_B	 STR
G276	 STR
G46_G282_B	 STF
G155	 STR
G293	 STF
G476_G627_A	 STF
G619	 STR
G644	 STF
G640	 STR
G50_G300_A	 STR
G645_G627_B	 STR
G347	 STR
G645_G642_B	 STF
G444	 STR
G400	 STF
G78	 STF
G177_G138_A	 STF
G101_G275_A	 STF
G102_G292_B	 STR
G35_G182_A	 STR
G509	 STF
G625	 STF
G506	 STR
G77_G581_B	 STR
G630	 STF
G517	 STF
G500	 STF
G74_G550_B	 STR
G73	 STF
G412	 STF
G496	 STR
G334	 STR
G502	 STF
G552_G553_A	 STF
G105_G295_B	 STF
G520	 STR
G470	 STR
========================================================================


G565	 STF
G84	 STR
G429	 STF
G335_G399_A	 STR
G621	 STR
G74_G96_A	 STF
G78_G100_A	 STF
G500_G492_B	 STR
G449	 STR
G42_G239_B	 STF
G102_G292_B	 STF
G601_G602_B	 STF
G268_G279_A	 STR
G375_G376_A	 STF
G645_G639_B	 STR
G629	 STR
G516	 STR
G500	 STF
G432_G430_A	 STF
G457_G355_A	 STF
G80_G567_A	 STR
G101_G286_B	 STF
G513	 STF
G54_G381_B	 STF
G602	 STF
G48_G300_C	 STF
G645_G642_B	 STF
G435_G593_A	 STR
G491	 STR
G33	 STR
G469	 STR
G183_G381_A	 STR
G269	 STR
G72_G487_B	 STF
G480_G471_A	 STF
G78_G582_B	 STR
G62_G429_B	 STR
G170_G157_A	 STF
G104_G284_B	 STF
G645_G646_B	 STF
G351	 STF
G177_G141_A	 STR
G45_G294_A	 STF
G332BF	 STR
G634	 STF
G506	 STR
G77_G586_B	 STF
G511_G505_B	 STR
G74_G578_B	 STR
G292	 STR
G76_G98_A	 STF
G259	 STF
G625	 STR
G81_G585_A	 STR
G536	 STR
G524	 STR
G42_G291_A	 STF
G647	 STF
G428	 STR
G44_G288_A	 STR
G262_G245_A	 STF
G270_G289_A	 STR
G495	 STR
G649_G234_A	 STF
G632	 STF
G512	 STF
G636	 STR
G350	 STF
G579	 STF
G334	 STF
G644	 STF
G354	 STR
G142_G141_B	 STR
G229_G344_A	 STF
G79	 STF
G509	 STR
G229	 STR
G638	 STF
G355_G356_B	 STR
G72_G519_A	 STR
G136_G226_A	 STF
G377_G324_A	 STR
G60	 STF
G70_G517_B	 STR
G552_G544_A	 STF
G414_G523_B	 STR
G103_G293_B	 STF
G52_G367_B	 STR
G76_G585_B	 STF
G73_G520_A	 STR
G324_G325_B	 STF
G559	 STF
G355_G337_B	 STR
G180_G181_B	 STF
G416	 STR
========================================================================


G633	 STR
G45_G284_A	 STR
G229_G344_A	 STR
G610_G571_B	 STR
G552_G553_A	 STF
G84_G606_A	 STR
G645_G646_B	 STR
G346	 STR
G549	 STR
G559	 STF
G78_G100_A	 STF
G500_G492_B	 STR
G185	 STR
G324_G318_B	 STF
G553_G546_A	 STF
G228_G522_B	 STR
G74_G96_A	 STF
G649_G234_A	 STF
G623	 STF
G504	 STR
G567	 STR
G413_G404_B	 STF
G102_G287_B	 STR
G511_G512_B	 STF
G501	 STF
G683	 STR
G641	 STF
G561_G587_A	 STR
G61_G421_B	 STR
G579	 STF
G75_G97_A	 STR
G79_G583_A	 STF
G77_G586_B	 STF
G457	 STF
G481_G474_A	 STF
G416	 STR
G521	 STR
G495	 STF
G68_G466_B	 STF
G102	 STR
G304	 STF
G102_G276_A	 STF
G496	 STR
G444	 STR
G582	 STF
G481_G478_A	 STF
G57	 STF
G75_G533_B	 STR
G223_G228_A	 STR
G104_G280_A	 STR
G74_G583_B	 STF
G637	 STF
G502	 STF
G76	 STR
G294	 STF
G63	 STR
G136_G132_A	 STF
G256	 STF
G301_G334_A	 STR
G639	 STR
G550_G551_A	 STF
G518	 STR
G351	 STF
G101_G291_B	 STF
G180_G181_B	 STR
G82_G586_A	 STR
G545	 STF
G558	 STF
G645	 STR
G375_G368_A	 STF
G75_G579_B	 STF
G62_G349_A	 STF
G248	 STR
G74_G578_B	 STR
G75	 STR
G510	 STR
G635	 STF
G318	 STF
G324_G325_B	 STR
G154	 STR
G644	 STF
G494	 STF
G585	 STR
G141	 STR
G35_G182_A	 STR
G509	 STF
G646	 STF
G556	 STR
G347	 STR
G90_G654_A	 STR
G524_G593_B	 STR
G269_G289_B	 STF
G619	 STR
========================================================================


G431_G421_A	 STF
G557	 STF
G103_G288_B	 STR
G623	 STF
G481_G478_A	 STF
G573	 STR
G260	 STF
G73_G501_A	 STR
G284	 STF
G73	 STR
G524_G604_B	 STR
G543	 STF
G170_G156_A	 STR
G268_G279_A	 STR
G83_G598_B	 STR
G508	 STR
G381	 STR
G285	 STF
G469	 STR
G80_G579_A	 STF
G236	 STF
G432_G229_A	 STF
G341	 STR
G74_G529_B	 STF
G347	 STR
G300	 STF
G295	 STF
G588	 STR
G267_G277_A	 STR
G49_G300_B	 STF
G76	 STR
G181	 STR
G80	 STR
G497	 STR
G105_G295_B	 STR
G683	 STR
G490	 STR
G569	 STR
G70_G474_B	 STR
G263_G249_A	 STR
G506	 STR
G335_G400_A	 STF
G697	 STR
G579	 STF
G567	 STR
G638	 STF
G456_G646_A	 STF
G525	 STR
G364	 STF
G509	 STR
G645_G642_B	 STF
G601_G602_B	 STF
G561_G582_A	 STF
G104_G294_B	 STR
G645_G618_B	 STR
G228	 STR
G480_G471_A	 STR
G248	 STR
G500_G496_B	 STR
G80_G567_A	 STR
G635	 STF
G69_G520_B	 STF
G59_G350_A	 STF
G481_G474_A	 STR
G645_G636_B	 STR
G452	 STF
G634	 STR
G47_G300_D	 STF
G156	 STF
G104_G284_B	 STR
G542	 STR
G351	 STR
G397	 STR
G84	 STR
G62_G349_A	 STR
G303	 STF
G46_G285_A	 STR
G76_G585_B	 STR
G68_G466_B	 STF
G57_G399_B	 STF
G505	 STF
G79_G583_A	 STR
G203_G225_B	 STF
G358_G432_A	 STF
G77	 STR
G404	 STF
G649	 STF
G293	 STR
G76_G98_A	 STR
G561_G587_A	 STR
G180_G697_A	 STR
G597_G599_B	 STF
G183_G206_A	 STF
G577	 STF
G470	 STR
G64_G444_B	 STR
G80_G561_B	 STR
G85_G602_A	 STR
========================================================================


G500_G492_B	 STF
G284	 STF
G645_G691_A	 STR
G342	 STF
G435_G232_C	 STR
G596_G99_B	 STF
G358_G432_A	 STF
G84_G603_B	 STR
G683	 STR
G503	 STF
G103_G293_B	 STR
G183_G222_A	 STF
G348_G349_B	 STF
G505	 STR
G72_G496_A	 STR
G335_G400_A	 STF
G90_G654_A	 STR
G617	 STF
G596_G97_B	 STF
G49_G318_A	 STR
G84_G606_A	 STR
G587	 STR
G516	 STR
G432_G229_A	 STF
G49_G300_B	 STF
G261	 STR
G352	 STF
G457_G355_A	 STF
G551_G552_A	 STF
G543	 STF
G105_G285_B	 STF
G75_G584_B	 STF
G561	 STR
G513	 STF
G141	 STR
G268	 STR
G499	 STR
G71	 STF
G550_G551_A	 STF
G180	 STF
G71_G492_A	 STR
G32	 STR
G628	 STF
G325	 STF
G229_G344_A	 STR
G375_G376_A	 STF
G74_G583_B	 STR
G77_G586_B	 STR
G645_G355_B	 STR
G79_G583_A	 STR
G269	 STR
G303	 STF
G495	 STF
G268_G289_C	 STR
G490	 STR
G524_G604_B	 STR
G82_G581_A	 STF
G72	 STF
G602	 STF
G84	 STR
G404	 STF
G171_G162_A	 STF
G524	 STR
G643	 STF
G63_G439_B	 STR
G293	 STR
G620	 STF
G649_G234_A	 STR
G351	 STR
G456	 STR
G289	 STF
G481	 STF
G581	 STR
G561_G582_A	 STR
G58	 STR
G625	 STR
G347	 STF
G619	 STF
G349	 STF
G307	 STF
G63	 STR
G334	 STR
G416	 STR
G473	 STR
G49_G326_A	 STF
G301_G334_A	 STR
G654	 STF
G535	 STF
G556	 STF
G638	 STR
G634	 STF
G74_G550_B	 STR
========================================================================


G622	 STF
G513	 STF
G48_G300_C	 STF
G332BF	 STR
G32_G156_B	 STR
G485	 STR
G80_G567_A	 STR
G476_G624_A	 STF
G71_G518_A	 STR
G270_G289_A	 STR
G304	 STF
G42_G239_B	 STF
G85_G611_A	 STR
G623	 STR
G524_G456_B	 STF
G596_G100_B	 STF
G49_G326_A	 STF
G493	 STR
G76_G585_B	 STF
G171_G162_A	 STF
G85	 STR
G248	 STR
G596_G99_B	 STF
G247	 STR
G325	 STR
G73_G501_A	 STR
G620	 STF
G77	 STR
G180_G177_A	 STF
G180_G183_A	 STF
G579	 STR
G553_G549_A	 STR
G324_G325_B	 STF
G48_G319_A	 STF
G646	 STR
G69_G520_B	 STF
G57_G399_B	 STR
G183_G222_A	 STF
G297	 STR
G352	 STR
G632	 STR
G545	 STF
G473	 STR
G77_G581_B	 STF
G582	 STF
G477	 STR
G103_G288_B	 STR
G549	 STR
G269_G281_A	 STR
G381	 STR
G46_G285_A	 STR
G46_G282_B	 STF
G61	 STR
G537	 STR
G580	 STR
G573	 STR
G578	 STR
G414_G345_A	 STF
G431_G425_A	 STF
G171_G172_A	 STF
G342	 STF
G512	 STF
G645_G642_B	 STR
G48_G301_C	 STF
G521	 STR
G504	 STF
G177_G168_A	 STF
G79_G578_A	 STR
G645_G646_B	 STF
G32	 STR
G104_G284_B	 STF
G71_G487_A	 STF
G556	 STF
G626	 STF
G269_G289_B	 STF
G52	 STR
G435_G593_A	 STR
G404	 STF
G75_G584_B	 STF
G396	 STR
G236	 STF
G75_G97_A	 STR
G551_G539_A	 STF
G76_G98_A	 STR
G416	 STR
G649_G235_A	 STF
G525	 STF
G645_G352_B	 STF
G638	 STR
G90_G654_A	 STF
G505	 STF
G69_G471_B	 STR
G311	 STR
G183_G381_A	 STF
G52_G367_B	 STR
G333	 STF
G335_G412_A	 STF
G50_G300_A	 STF
========================================================================


G307	 STF
G508	 STF
G248	 STR
G46_G285_A	 STR
G32_G156_B	 STR
G347	 STF
G75_G579_B	 STF
G246	 STF
G582	 STF
G646	 STF
G247	 STR
G64_G444_B	 STR
G596_G99_B	 STF
G499	 STF
G339	 STR
G581	 STR
G524_G456_B	 STF
G601_G602_B	 STF
G270	 STR
G497	 STF
G28	 STR
G500_G501_B	 STF
G333	 STF
G645_G627_B	 STR
G352	 STF
G48_G312_A	 STR
G104_G284_B	 STR
G85_G611_A	 STR
G349	 STR
G289	 STF
G509	 STF
G69_G471_B	 STR
G239	 STR
G510	 STF
G597_G599_B	 STF
G58_G413_B	 STF
G480	 STF
G63	 STR
G351	 STF
G77_G581_B	 STR
G502	 STR
G50_G300_A	 STR
G515	 STR
G583	 STR
G608	 STF
G584	 STR
G50_G301_A	 STF
G489	 STF
G81_G561_C	 STF
G73_G520_A	 STR
G73_G501_A	 STF
G511	 STF
G269_G289_B	 STF
G83_G456_A	 STR
G74_G529_B	 STR
G62_G349_A	 STF
G324_G325_B	 STR
G75_G533_B	 STR
G530	 STF
G73	 STF
G571	 STR
G269_G281_A	 STR
G45_G294_A	 STF
G76_G585_B	 STR
G586	 STR
G648	 STF
G559	 STF
G578	 STR
G513	 STR
G645_G624_B	 STR
G80	 STR
G434_G461_A	 STR
G290	 STF
G634	 STR
G579	 STF
G645_G630_B	 STR
G614	 STF
G488	 STR
G70	 STR
G183_G222_A	 STF
G414_G345_A	 STF
G104_G294_B	 STR
G75_G584_B	 STR
G506	 STF
G28_G131_B	 STR
G71_G487_A	 STF
G76_G580_B	 STR
G455	 STF
G456_G646_A	 STR
G101_G291_B	 STF
G551_G538_A	 STR
G561_G582_A	 STR
G82_G586_A	 STR
G511_G512_B	 STF
========================================================================


G577	 STF
G83_G598_B	 STR
G290	 STF
G72	 STR
G293	 STF
G488	 STR
G49_G300_B	 STF
G644	 STF
G77	 STR
G492	 STR
G506	 STF
G529	 STF
G347	 STF
G81_G561_C	 STF
G105_G295_B	 STF
G520	 STR
G632	 STR
G22	 STF
G552_G544_A	 STF
G348_G349_B	 STR
G645_G646_B	 STF
G229_G344_A	 STF
G73_G487_C	 STF
G78_G582_B	 STF
G48_G312_A	 STR
G178_G181_A	 STR
G68_G515_B	 STF
G579	 STF
G561_G582_A	 STR
G647	 STF
G457_G618_A	 STF
G646	 STR
G551_G552_A	 STF
G32	 STR
G82	 STR
G494	 STR
G103_G293_B	 STF
G85_G611_A	 STR
G80_G579_A	 STR
G634	 STF
G555	 STR
G638	 STR
G228_G522_B	 STR
G596_G97_B	 STF
G45_G284_A	 STR
G481_G474_A	 STF
G62_G349_A	 STF
G455	 STF
G507	 STR
G74_G96_A	 STR
G583	 STF
G101_G291_B	 STF
G381	 STR
G400	 STF
G268_G279_A	 STR
G496	 STR
G645_G633_B	 STR
G333	 STF
G263_G249_A	 STR
G513	 STR
G508	 STF
G236	 STR
G511_G512_B	 STR
G497	 STR
G69_G520_B	 STF
G649	 STF
G518	 STR
G432_G229_A	 STF
G102_G276_A	 STF
G71	 STF
G265_G261_A	 STR
G535	 STF
G537	 STR
G645_G684_A	 STR
G637	 STF
G485	 STR
G487	 STR
G77_G581_B	 STF
G142_G141_B	 STR
G77_G586_B	 STR
G602	 STF
G289	 STF
G102_G287_B	 STR
G601_G602_B	 STR
G248	 STR
G351	 STR
G495	 STF
G58	 STR
G504	 STF
G358_G418_A	 STR
G286	 STR
G525	 STR
========================================================================


G71_G487_A	 STF
G509	 STR
G268_G279_A	 STR
G493	 STF
G511_G512_B	 STF
G432_G229_A	 STR
G512	 STR
G333	 STF
G69_G471_B	 STR
G48_G312_A	 STR
G358_G432_A	 STF
G63	 STF
G346	 STR
G42_G286_A	 STF
G179	 STR
G580	 STR
G623	 STR
G335_G412_A	 STF
G457_G355_A	 STF
G552_G553_A	 STF
G79_G583_A	 STF
G33	 STR
G541	 STR
G561_G582_A	 STR
G90_G654_A	 STF
G288	 STF
G505	 STF
G268_G289_C	 STR
G180_G183_A	 STF
G649_G235_A	 STF
G290	 STF
G435_G593_A	 STR
G455	 STF
G524_G604_B	 STF
G270_G289_A	 STF
G74_G583_B	 STF
G295	 STF
G597_G599_B	 STF
G571	 STR
G511	 STF
G57_G399_B	 STF
G480_G481_A	 STF
G32_G156_B	 STR
G508	 STF
G644	 STF
G74_G96_A	 STR
G637	 STF
G180_G181_B	 STF
G339	 STR
G395_G389_A	 STF
G543	 STF
G456	 STR
G289	 STF
G602	 STF
G103_G288_B	 STR
G601_G602_B	 STR
G182	 STR
G645_G642_B	 STF
G596_G97_B	 STF
G77_G586_B	 STR
G44_G293_A	 STR
G71_G492_A	 STR
G549	 STR
G579	 STR
G583	 STF
G229_G344_A	 STR
G76_G585_B	 STF
G177_G168_A	 STF
G495	 STR
G542	 STR
G649	 STF
G85_G602_A	 STF
G643	 STF
G301_G334_A	 STF
G78_G582_B	 STF
G49_G301_B	 STF
G582	 STF
G103_G293_B	 STF
G72_G496_A	 STR
G487_G521_A	 STR
G513	 STF
G488	 STR
G75_G533_B	 STR
G101_G286_B	 STF
G578	 STF
G555	 STR
G183_G206_A	 STF
G610_G567_B	 STR
G58_G413_B	 STF
G404	 STF
G524_G456_B	 STF
G72	 STR
G511_G505_B	 STR
G354	 STR
G557	 STF
G85	 STR
G72_G519_A	 STR
G586	 STR
========================================================================


G457	 STF
G301_G334_A	 STR
G645_G352_B	 STF
G508	 STF
G638	 STR
G180_G181_B	 STR
G49_G300_B	 STF
G617	 STF
G270	 STR
G288	 STF
G354	 STR
G588	 STR
G457_G355_A	 STF
G350	 STF
G324_G325_B	 STR
G511_G512_B	 STF
G569	 STR
G76_G538_B	 STR
G524_G604_B	 STR
G504	 STF
G82_G586_A	 STR
G49_G326_A	 STF
G631	 STR
G505	 STR
G85_G602_A	 STF
G275	 STR
G50_G301_A	 STF
G177_G138_A	 STF
G629	 STR
G512	 STR
G492	 STR
G82_G581_A	 STF
G73_G501_A	 STR
G377_G324_A	 STF
G647	 STF
G497	 STR
G506	 STF
G61_G421_B	 STR
G431_G425_A	 STF
G269_G289_B	 STF
G580	 STR
G57_G400_B	 STF
G285	 STF
G58_G413_B	 STF
G335_G412_A	 STF
G555	 STR
G64	 STR
G341	 STR
G349	 STR
G46_G295_A	 STF
G74_G583_B	 STF
G645_G684_A	 STR
G414_G345_A	 STF
G596_G99_B	 STF
G69_G471_B	 STR
G589	 STF
G79_G561_A	 STF
G582	 STF
G551_G552_A	 STF
G246	 STF
G104_G284_B	 STR
G229_G344_A	 STR
G76_G580_B	 STR
G584	 STR
G413_G404_B	 STF
G57_G412_B	 STF
G331	 STR
G103_G278_A	 STF
G550_G551_A	 STF
G293	 STF
G561_G582_A	 STR
G346	 STF
G683	 STR
G81_G580_A	 STF
G581	 STR
G596_G100_B	 STF
G44_G288_A	 STR
G74_G550_B	 STF
G258	 STF
G49_G301_B	 STF
G490	 STF
G649	 STF
G236	 STF
G412	 STF
G104_G294_B	 STR
G50	 STF
G645_G646_B	 STR
G500_G496_B	 STR
G334	 STF
G90_G654_A	 STF
G644	 STR
G553_G549_A	 STR
G75_G584_B	 STF
G75	 STR
G542	 STR
G610_G567_B	 STR
========================================================================


G498	 STF
G105_G295_B	 STR
G285	 STF
G266_G290_B	 STF
G456_G646_A	 STF
G335_G412_A	 STF
G104_G284_B	 STR
G579	 STF
G236	 STF
G57_G412_B	 STF
G645_G639_B	 STR
G481_G478_A	 STF
G42_G286_A	 STF
G481	 STF
G646	 STF
G74_G529_B	 STF
G75	 STR
G63	 STF
G520	 STR
G103_G278_A	 STF
G81_G561_C	 STF
G183_G381_A	 STF
G80_G561_B	 STF
G524_G604_B	 STR
G45_G294_A	 STF
G77_G581_B	 STR
G79	 STF
G180_G181_B	 STR
G32	 STR
G573	 STR
G506	 STR
G46_G295_A	 STF
G265_G261_A	 STR
G381	 STR
G58_G413_B	 STF
G511_G512_B	 STR
G290	 STF
G537	 STR
G509	 STF
G260	 STF
G480_G471_A	 STF
G76_G585_B	 STF
G505	 STF
G49_G318_A	 STR
G596_G97_B	 STF
G301_G334_A	 STR
G181	 STR
G631	 STF
G177_G168_A	 STF
G432_G229_A	 STF
G488	 STF
G335_G400_A	 STF
G105_G285_B	 STR
G74_G578_B	 STR
G183_G222_A	 STF
G500_G492_B	 STR
G567	 STR
G647	 STF
G614	 STR
G525	 STF
G69_G471_B	 STR
G580	 STR
G358_G432_A	 STF
G529	 STF
G54_G381_B	 STF
G180_G177_A	 STF
G645_G636_B	 STR
G641	 STF
G489	 STF
G644	 STR
G288	 STF
G50_G325_A	 STF
G46_G285_A	 STR
G601_G602_B	 STF
G268	 STR
G49_G300_B	 STF
G597_G599_B	 STF
G476_G627_A	 STF
G180	 STF
G142_G141_B	 STR
G75_G579_B	 STR
G510	 STF
G476_G655_B	 STF
G491	 STF
G648	 STR
G59_G350_A	 STR
G102_G292_B	 STF
G269_G281_A	 STR
G571	 STR
G72_G487_B	 STF
G76_G98_A	 STR
G480_G481_A	 STF
G76_G580_B	 STR
========================================================================


G552_G553_A	 STF
G76_G98_A	 STR
G645_G642_B	 STR
G647	 STF
G50_G325_A	 STF
G435_G593_A	 STR
G178_G181_A	 STR
G251	 STF
G90_G654_A	 STR
G596_G100_B	 STR
G79_G583_A	 STF
G76_G580_B	 STF
G103_G288_B	 STR
G171_G172_A	 STF
G494	 STF
G170_G171_A	 STF
G515	 STR
G505	 STF
G395_G389_A	 STF
G333	 STF
G552_G544_A	 STF
G77_G543_B	 STR
G512	 STF
G580	 STR
G81_G585_A	 STR
G456_G646_A	 STR
G558	 STF
G75	 STR
G269_G289_B	 STR
G538	 STF
G275	 STR
G80_G561_B	 STF
G239	 STR
G136_G226_A	 STF
G349	 STF
G511_G508_B	 STF
G105_G295_B	 STR
G49_G326_A	 STF
G449	 STF
G552_G543_A	 STR
G452	 STF
G46_G285_A	 STR
G69_G471_B	 STR
G270_G289_A	 STR
G102_G292_B	 STF
G480_G471_A	 STF
G461	 STF
G271	 STF
G634	 STF
G645_G630_B	 STR
G683	 STR
G265_G261_A	 STR
G578	 STF
G510	 STF
G350	 STR
G476_G627_A	 STF
G45_G294_A	 STF
G79_G561_A	 STF
G507	 STF
G104_G284_B	 STR
G480_G472_A	 STF
G377_G324_A	 STF
G506	 STF
G551_G539_A	 STF
G63	 STF
G638	 STR
G597_G599_B	 STF
G61_G421_B	 STR
G77_G586_B	 STR
G72_G496_A	 STR
G83_G598_B	 STR
G256	 STF
G74_G578_B	 STF
G645_G352_B	 STF
G637	 STF
G82	 STR
G75_G533_B	 STR
G42_G286_A	 STF
G64	 STR
G58_G402_B	 STR
G553_G549_A	 STR
G229	 STR
G82_G575_A	 STR
G182	 STR
G101	 STF
G511	 STR
G75_G97_A	 STR
G61	 STR
G596_G96_B	 STF
G617	 STR
G504	 STF
G101_G291_B	 STR
G508	 STR
G644	 STF
========================================================================


G504	 STF
G628	 STR
G73_G487_C	 STF
G324_G325_B	 STF
G278	 STF
G500_G492_B	 STR
G567	 STR
G74_G578_B	 STR
G85_G602_A	 STF
G101_G275_A	 STF
G49_G300_B	 STR
G400	 STF
G334	 STF
G49_G318_A	 STR
G512	 STF
G72_G519_A	 STR
G104_G284_B	 STF
G556	 STR
G640	 STF
G511_G508_B	 STF
G585	 STR
G75_G579_B	 STR
G506	 STR
G641	 STF
G80_G584_A	 STR
G74_G583_B	 STR
G74_G529_B	 STR
G631	 STF
G293	 STF
G524_G604_B	 STR
G480_G471_A	 STF
G104_G294_B	 STR
G64	 STR
G76_G580_B	 STR
G77_G581_B	 STF
G511	 STF
G332	 STR
G50_G300_A	 STF
G290	 STF
G268	 STR
G632	 STR
G82_G575_A	 STR
G520	 STR
G32_G156_B	 STR
G377_G324_A	 STF
G505	 STF
G550_G534_A	 STF
G489	 STF
G270_G289_A	 STR
G541	 STR
G285	 STF
G42_G286_A	 STF
G301_G334_A	 STF
G48_G301_C	 STF
G549	 STR
G626	 STR
G275	 STR
G80_G579_A	 STR
G90_G654_A	 STF
G77_G586_B	 STF
G412	 STF
G597_G599_B	 STF
G76_G585_B	 STR
G325	 STR
G229_G344_A	 STF
G499	 STF
G431_G425_A	 STF
G57_G399_B	 STF
G395_G389_A	 STF
G229	 STR
G684	 STR
G59_G350_A	 STF
G81_G561_C	 STF
G582	 STF
G251	 STF
G102_G292_B	 STF
G596_G100_B	 STR
G71	 STR
G288	 STF
G332BF	 STF
G354	 STR
G511_G512_B	 STF
G266_G290_B	 STF
G256	 STF
G495	 STR
G494	 STF
G102_G287_B	 STR
G63	 STR
G488	 STR
G449	 STR
G46_G282_B	 STF
G629	 STR
========================================================================


G81_G580_A	 STF
G72_G496_A	 STR
G518	 STR
G683	 STR
G171_G162_A	 STF
G586	 STR
G256	 STF
G71	 STR
G50_G301_A	 STF
G61_G421_B	 STR
G490	 STF
G270_G283_A	 STR
G102_G276_A	 STF
G54_G381_B	 STF
G614	 STR
G491	 STR
G299_G239_A	 STF
G645_G646_B	 STF
G278	 STF
G645_G639_B	 STR
G180_G181_B	 STF
G301_G334_A	 STR
G596_G97_B	 STF
G492	 STR
G632	 STF
G58_G413_B	 STF
G580	 STR
G449	 STF
G70_G474_B	 STR
G44_G288_A	 STR
G78_G582_B	 STR
G49_G300_B	 STF
G596_G100_B	 STR
G502	 STF
G85	 STR
G504	 STR
G47_G300_D	 STF
G183_G377_A	 STF
G647	 STR
G511_G508_B	 STR
G414_G345_A	 STF
G645_G642_B	 STF
G488	 STR
G105_G295_B	 STR
G63	 STR
G631	 STR
G48_G300_C	 STF
G499	 STF
G82_G586_A	 STR
G480_G471_A	 STF
G74_G550_B	 STR
G75_G97_A	 STR
G80_G579_A	 STF
